epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,train_seconds,val_seconds
1,0.0001,0.3907427792322068,0.8841269841269841,0.8810913459277259,0.12078366576153556,0.9590123456790124,0.9581228495214387,49.930368300003465,14.748861700001726
2,9.939057285945933e-05,0.14140004708002957,0.9550793650793651,0.9541394286250734,0.08477217943947993,0.9698765432098766,0.9689869616427759,37.43679759999941,2.585758299999725
3,9.757729755661012e-05,0.112471785696726,0.9607936507936508,0.9600942321782455,0.08029666397306655,0.9735802469135802,0.9735476102140319,37.44929310000225,2.6028296000004048
4,9.460482294732422e-05,0.08779671814864275,0.9705291005291006,0.9699004590494079,0.06499125526275164,0.9785185185185186,0.9777647540008101,37.47427919999973,2.5997414000012213
5,9.054634122155992e-05,0.07871561048522828,0.973915343915344,0.9731800656930061,0.05808147509524852,0.980246913580247,0.9797421373879706,37.41083760000038,2.597299600001861
6,8.550178566873411e-05,0.06389419740785367,0.9792063492063492,0.9788240310344463,0.06511377629674511,0.9795061728395061,0.9786846349836239,37.53851990000112,2.5792330999975093
7,7.959536998847744e-05,0.05930203418725382,0.9808465608465609,0.9804413058764313,0.06979732210253492,0.977037037037037,0.9766569587707234,37.456784800000605,2.62604349999674
8,7.297252973710758e-05,0.051173779686725644,0.9812698412698413,0.9807517165877231,0.05902853109218456,0.9837037037037037,0.9833083104257645,37.5534112000023,2.594617599999765
9,6.579634122155991e-05,0.04288952421889734,0.9851322751322751,0.9846536082335346,0.05744330114788479,0.9817283950617284,0.981074826589732,38.962772699997004,2.6853480999998283
10,5.824350601949144e-05,0.0428529310951788,0.985026455026455,0.9846227585479671,0.05516737381617228,0.9829629629629629,0.9826268232579143,37.90597590000107,2.6219114000014088
11,5.050000000000001e-05,0.03233932961231817,0.988994708994709,0.9888147510380338,0.049082942218692215,0.9837037037037037,0.9831735550505692,38.31598870000016,2.585622099999455
12,4.275649398050859e-05,0.027407569014442662,0.9901058201058202,0.9896792839182907,0.054317532056643636,0.9827160493827161,0.9822715162558653,37.810122499999125,2.5931567000006908
13,3.520365877844011e-05,0.021792241038271674,0.992910052910053,0.9927190954024994,0.04632718555721236,0.9854320987654321,0.985065713486774,38.06427509999776,2.6033467999986897
14,2.8027470262892444e-05,0.019287308359890683,0.9934391534391535,0.9933660402426338,0.053010105203699184,0.9851851851851852,0.9847083804158764,37.80382060000193,2.6101844999975583
15,2.1404630011522593e-05,0.016583473051666582,0.9946560846560847,0.9945158442095317,0.05327358287057759,0.9841975308641975,0.9837310409349638,37.92489679999926,2.6208511000004364
16,1.5498214331265904e-05,0.015099619570220255,0.9953968253968254,0.9952172244325389,0.0453111571441462,0.988641975308642,0.9881238100029716,38.31850210000266,2.8645670999976574
17,1.0453658778440109e-05,0.01337727216816453,0.9956084656084656,0.9955504764619395,0.04701945142245587,0.988641975308642,0.9883064996050503,41.482031800002005,2.7012543999990157
18,6.395177052675796e-06,0.009954548569583388,0.9972486772486773,0.9971952401503256,0.047844265577969725,0.9879012345679012,0.9875541101193848,37.95397650000086,2.6444957999992766
19,3.422702443389901e-06,0.01021035148353173,0.9967724867724868,0.9967118266237239,0.04843131351618119,0.9874074074074074,0.9871318641790319,40.5499931000013,2.727041400001326
20,1.6094271405406863e-06,0.0101409172574206,0.9968783068783069,0.9968191268943926,0.04658835349259553,0.988641975308642,0.9883243594774231,41.393775299999106,2.857168600003206
