epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,train_seconds,val_seconds
1,0.0001,0.38132248310224404,0.8873544973544973,0.8845212105787985,0.11894974183889083,0.9609876543209876,0.9599533778630522,27.75739851900289,2.5809408420027466
2,9.939057285945933e-05,0.14166952107988653,0.9526455026455026,0.9516578490919476,0.08175631829250006,0.9718518518518519,0.9708111787889422,26.308411338999576,2.1690757869946538
3,9.757729755661012e-05,0.11091295784743374,0.9629100529100529,0.9621340890085696,0.08165359397729238,0.9748148148148148,0.9742864481807569,26.104911698996148,1.985341599000094
4,9.460482294732422e-05,0.08457905477632291,0.9714814814814815,0.9708047707952293,0.0621142781663824,0.9797530864197531,0.9793489810986413,26.440669269002683,2.0702005030034343
5,9.054634122155992e-05,0.07645665306893606,0.9747089947089947,0.9740584653761672,0.05722535968562703,0.9817283950617284,0.9815684778208583,26.12465346800309,2.035766806002357
6,8.550178566873411e-05,0.06889043453548636,0.9767724867724867,0.9762915678628039,0.07301757241472785,0.9775308641975309,0.9770823827521344,26.008616227001767,2.001545419996546
7,7.959536998847744e-05,0.05839608523580763,0.9805820105820106,0.9799881472024282,0.0611794540874752,0.9787654320987654,0.9784079566931917,26.185062916003517,2.07140366800013
8,7.297252973710758e-05,0.05251354898567553,0.9808465608465609,0.9804549926395371,0.06050657336358671,0.9812345679012345,0.9809480205205405,26.55346081499738,2.0926502749935025
9,6.579634122155991e-05,0.04414901997125338,0.9841798941798942,0.983730522794988,0.0555961862280045,0.9829629629629629,0.9826257062748323,26.448525642997993,2.0414606609992916
10,5.824350601949144e-05,0.042274118180943544,0.9862962962962963,0.9860529016771361,0.04554729829599828,0.9851851851851852,0.9847147017948379,26.743691565003246,2.0863628959996277
11,5.050000000000001e-05,0.03638693239953783,0.9872486772486773,0.9870609876538357,0.04164013917983314,0.9861728395061728,0.9855464577698874,25.90667784499965,2.179045342003519
12,4.275649398050859e-05,0.029168155698706864,0.9901587301587301,0.9899045640153821,0.04470406826815487,0.9861728395061728,0.9858245458852487,25.92359497400321,2.061219251998409
13,3.520365877844011e-05,0.022215385897449716,0.9927513227513227,0.992481867622135,0.04743360451710077,0.9834567901234568,0.9830740321919762,27.160250331005955,2.032881622995774
14,2.8027470262892444e-05,0.02041717888812027,0.9934391534391535,0.9933353053070274,0.052379092684498536,0.9849382716049383,0.9848043720757147,26.373181755996484,2.013950217005913
15,2.1404630011522593e-05,0.0160268201777544,0.9943386243386243,0.9941169189904612,0.04746112198005488,0.9866666666666667,0.986418894161362,26.514328325996757,2.1067877700043027
16,1.5498214331265904e-05,0.015839684337535232,0.9951851851851852,0.995007707573149,0.04616538772612442,0.9869135802469136,0.9865193076523372,26.462096108996775,2.083971253996424
17,1.0453658778440109e-05,0.013066197414562185,0.9960846560846561,0.9960116687294057,0.04437962145717056,0.9876543209876543,0.9873473137426346,26.021904881003138,2.022760906998883
18,6.395177052675796e-06,0.009921387749386548,0.9974603174603175,0.9973672755682443,0.043798921696933696,0.9871604938271605,0.9866987489265002,26.232550724002067,2.027044760005083
19,3.422702443389901e-06,0.010731826339399925,0.9967724867724868,0.9966910279810671,0.046876593585367554,0.9893827160493828,0.9890416015870219,26.798002158997406,1.9786117100011325
20,1.6094271405406863e-06,0.010337426321847098,0.996984126984127,0.9968588835075435,0.04215516490332874,0.9891358024691358,0.9887912832749516,26.510636373001034,2.0667704489969765
