epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,train_seconds,val_seconds
1,0.0001,0.4611148121338042,0.8694708994708995,0.8657650435875224,0.13487108439207077,0.9565432098765432,0.9556572675265216,38.51207002999581,3.4735494170017773
2,9.939057285945933e-05,0.16100991343064283,0.9475132275132275,0.9462866530469416,0.08475148957728604,0.9708641975308642,0.9703330789829312,32.71178705000057,2.6602346719955676
3,9.757729755661012e-05,0.1315387816151614,0.9553968253968254,0.9545659874598673,0.08140902647265681,0.9720987654320987,0.9715548095608499,34.37798204799765,2.532429847000458
4,9.460482294732422e-05,0.1002038382380097,0.9672486772486772,0.9665014603183737,0.07175235536179425,0.9753086419753086,0.9743265728769895,33.30640382599813,2.576823497998703
5,9.054634122155992e-05,0.09021443381511345,0.96994708994709,0.9691205736700983,0.05754890339610017,0.9787654320987654,0.9782209668211598,34.189358156996605,2.6422009939997224
6,8.550178566873411e-05,0.07669153820269953,0.9743915343915344,0.9738794706668887,0.05628626435627172,0.9834567901234568,0.982623383534402,34.44404260999727,2.4808523210012936
7,7.959536998847744e-05,0.06796381937132942,0.9782010582010582,0.977652245075744,0.06377091686666747,0.9780246913580247,0.9774097100977539,33.891427820999525,2.765915419004159
8,7.297252973710758e-05,0.06182483059861672,0.9786243386243386,0.9781857925826081,0.05236203292269766,0.9819753086419754,0.9814570248833527,34.5368490779947,2.611866369996278
9,6.579634122155991e-05,0.05160961383549625,0.9831216931216932,0.9826523753157866,0.05755541275312871,0.9809876543209877,0.9806187835758152,34.24211542100238,2.643516255004215
10,5.824350601949144e-05,0.05268378342230799,0.9819576719576719,0.9814726392953933,0.05232641711279198,0.9824691358024691,0.9818928435184417,34.214944683000795,2.613736571998743
11,5.050000000000001e-05,0.04494060235994834,0.9850793650793651,0.9847898910485615,0.04681574066112071,0.9841975308641975,0.9836765014617767,34.16217245399457,2.6021591969984
12,4.275649398050859e-05,0.039107887479205614,0.987037037037037,0.9866596572886962,0.05063576356312375,0.9837037037037037,0.9830662380057046,34.27501672699873,2.6006892990044435
13,3.520365877844011e-05,0.03602244683595562,0.9883068783068784,0.9880058638145691,0.05200516650706161,0.9851851851851852,0.9848249706565401,33.57378647900623,2.5603191120026167
14,2.8027470262892444e-05,0.03211583442148314,0.9889417989417989,0.9887291002100745,0.04780928956137763,0.9859259259259259,0.9855004824449252,34.7574910550029,2.672107481994317
15,2.1404630011522593e-05,0.030146018096773083,0.9897354497354497,0.9895072283129978,0.05005216183853738,0.9824691358024691,0.9819695718652113,34.089962406993436,2.771492763000424
16,1.5498214331265904e-05,0.028123147809513346,0.9910582010582011,0.9908635125829341,0.04556657446019444,0.9864197530864197,0.9860241201547826,33.60996606100525,2.712349895002262
17,1.0453658778440109e-05,0.028242729758774794,0.9904232804232804,0.9901862000364894,0.04614498804380864,0.9844444444444445,0.984046878499387,33.763351567002246,2.796718605000933
18,6.395177052675796e-06,0.02463529741950826,0.9921693121693121,0.9919326928714829,0.05049201457956691,0.9834567901234568,0.9829496950395274,33.687436049003736,2.829837557001156
19,3.422702443389901e-06,0.025749794169077796,0.9911111111111112,0.9909038857751332,0.04547597316680131,0.9846913580246913,0.9843402566938408,35.47870248399704,2.69278569999733
20,1.6094271405406863e-06,0.025950614294362448,0.9914285714285714,0.9911472322760938,0.04479987115587717,0.9854320987654321,0.9849998243730497,33.97826819599868,2.663979436001682
